,company_name,job_title,job_senority,degree,job_desc,city,state,avg_salary,salary_lower,salary_upper,size,industry,sector,job_function,revenue,num_listings
372,Discover,AM Credit Card Inbound Customer Service - ,,,"discover. a brighter future.

great news! you are eligible for a cash bonus!

sign-on bonus: up to $2k*

and … we offer 100% remote, combo, or on site - it’s your choice! you do need to live in ohio, utah, arizona, delaware (and surrounding area), or illinois.

and … after you join the team, discover will provide eligible employees with a one-time allowance of $500 to cover the costs of setting up a home office and a monthly internet reimbursement of $60.

bonus is paid in the following increments within 30 days of the following milestones:
$500 following 60 days employed

$500 following 120 days employed

$1000 following 365 days employed

to receive the bonus, you must be employed with discover at the time of payment. stated bonus payouts are before taxes and deductions as applicable to you.

job description

we know you’re going to love it here! discover has an outstanding culture and the employee experience is fantastic! check out all the reasons to apply:

w e’ve got you covered with a variety of shifts for this position, which will start on january 2023.

available shifts

(d e, md, pa, nj, & o h ) start times of 5:00 am, 6:00 am, 7:00 am, 9:00 am, 10:00 am and 11:00 am est

(il) start time of 4:00 am, 5:00 am, 6:00 am, 8:00 am, 9:00 am, 10:00 am cst

(ut & az) start time of 3:00 am, 4:00 am, 5:00 am, 7:00 am, 8:00 am, 9:00 am mst

shifts are monday-friday with weekends as assigned

competitive wage
starting wage of $17.00 per hour, + relevant shift differential depending upon schedule.

full time benefits
we could say there are too many to list, but it’s worth it to share the good news!
starting day one (yes, you heard that correctly – no waiting period) , you can take advantage of our amazing benefit package, designed with you and your future in mind! check out the full list:

paid time off (at minimum, 20 personal days + 7 holidays per year)

medical/dental/vision/life insurance

fully paid bachelors and tuition assistance & reimbursement options

401k with company match and fixed contribution

employee stock purchase plan

what you will do

working from home, you will need a quiet workspace so you can focus on our customers. you’ll also need a minimum of 5 mbps up/download speed from your internet provider.

you’ll spend the majority of your shift talking with our customers, listening to their concerns, and providing the best solutions. you’ll be a master problem solver! you might interact with customers on the phone, in a chat session, or responding to emails.

we’ll provide you with procedures and tools to handle our customer’s needs and strengthen their relationship with discover .

we’ll provide you with all the equipment you need! monitors, computer, keyboard, mouse, headset, and an amazing new hire training experience . you’ll also have the best coaches to help you deliver the best service!

qualifications you will need to succeed


be reliab le! we need you here to take care of our customers. be committed to working your schedule.

enjoy helping others. you will be busy, taking call after call, assisting our customers.

we are always looking for ways to make things better for our employees and customers- that means you will experience change, sometimes at a fast pace.

positive energy, strong communication, ability to focus on the issue and not take things personally. let your personality shine.

we want you to succeed! that means you will receive coaching and feedback. be open and willing to try new things.


1+ years of experience in related field

benefits you might not have expected

employee assistance program counselors

discover care@work family assistance program (discounted childcare at participating centers, free care.com membership, and subsidized backup care services)

perks at work (access discounts from over 30,000 merchants, earning wow points while you shop)

opportunities to volunteer in the community

development groups and training

if you do choose to work onsite, we have a f ull service cafeteria featuring starbucks and subsidized m indful options , as well as access to our fitness center. we also have onsite health clinics.

#inddfs
#zrdfs
#remote
#bi-remote

with us, you’ll do meaningful work from day 1. our collaborative culture is built on three core behaviors: we play to win, we get better every day & we succeed together. and we mean it — we want you to grow and make a difference at one of the world's leading digital banking and payments companies. we value what makes you unique so that you have an opportunity to shine.

come build your future, while being the reason millions of people find a brighter financial future with discover.

what are you waiting for? apply today!

all discover employees place our customers at the very center of our work. to deliver on our promises to our customers, each of us contribute every day to a culture that values compliance and risk management.

the same way we treat our employees is how we treat all applicants – with respect. discover financial services is an equal opportunity employer (eeo is the law) . we thrive on diversity & inclusion. you will be treated fairly throughout our recruiting process and without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status in consideration for a career at discover.",New Albany,OH,35360.0,35360.0,,1001 - 5000 ,Banking & Lending,Financial Services,Customer Services & Support,$25 to $100 million (USD),454
381,Breezeline,Customer Care Representative - ,,,"our culture lifts you up—there is no ego in the way. our common purpose? we all want to win for our customers. we aim to always be evolving, dynamic, and ambitious. we believe in the power of genuine connections. each employee is a part of what makes us unique on the market: agile and dedicated.
time type:
regular
job description :
about our company
breezeline is a dynamic, innovative company providing the very best internet, tv, and voice service to the us markets we serve. we are ‘above and beyonders’, who consistently strive to surprise and delight our customers by doing the unexpected. we continually look for new and better ways to enrich our customers’ lives through connected and memorable experiences.
as the 8th largest internet provider in the united states, breezeline provides internet, tv, voice, and enterprise business services to more than 450,000 business and residential customers across twelve states. headquartered in quincy, ma, breezeline is a wholly-owned subsidiary of cogeco communications inc. (tsx: cca).
cumberland, md",Cumberland,MD,31200.0,31200.0,,1001 - 5000 ,Telecommunications Services,Telecommunications,Customer Services & Support,,454
382,Ameritas,Customer Service Representative -  Texas,,,"class starting january 23, 2023 to work remotely in texas!

starting pay of $15/hr

if you know what excellent customer service looks like apply now! no previous insurance industry experience required.

at ameritas, fulfilling life is what we do daily. we continuously strive to help our customers and employees enjoy life at its very best by reducing uncertainty, helping grow assets and protecting what is most cherished. we're here to help people put worry behind and the future ahead and help enable a life that's rich in family, happiness, health, and financial security. when lives are fulfilled, our mission is fulfilled.

ameritas is seeking customer service representatives to drive the business by providing customer service that exceeds customer expectations and achieves customer loyalty. this position will communicate with providers and insured members for verification of insured eligibility, plan provisions, claim status or other pertinent information. this role will be a part of our group (dental, vision, and hearing) insurance division.

what you do

what you bring

what we offer

an equal opportunity employer

ameritas has a reputation as a company that cares, and because everyone should feel safe bringing their authentic, whole self to work, we're committed to an inclusive culture and diverse workplace, enriched by our individual differences. we are an equal opportunity/affirmative action employer that hires based on qualifications, positive attitude and exemplary work ethic, regardless of sex, race, color, national origin, religion, age, disability, veteran status, genetic information, marital status, sexual orientation, gender identity or any other characteristic protected by law.

equal opportunity employer minorities/women/protected veterans/disabled",,TX,31200.0,31200.0,,1001 - 5000 ,Insurance Agencies & Brokerages,Insurance,Customer Services & Support,$1 to $5 billion (USD),454
388,E-ZPass MA/TransCore,Call Center Representative ,,,"shifts available:
monday - friday, 9:00am - 5:30pm
monday - friday, 9:30am - 6:00pm
monday - friday, 10:00am - 6:30pm
monday - friday, 10:30am - 7:00pm
all employees are required to work 1-2 saturdays per month from 9am - 1pm (with time off during the week to maintain 40 hour work week)
training is in the auburn office for approximately 6-8 weeks. you will be able to work from home once training is completed. this is a paid training.
summary: under the direction of the customer communications supervisors, the customer communications representative is the primary customer service interface for the e-zpass ma program. the csr is responsible for all telephone, e-mail, and chat account maintenance. the csr determines the accuracy of account information, and ensures all required information is provided for security. the csr enters information into the database, processes payments, and assists patrons in understanding ezpass ma procedures regarding payment options, information changes and violations enforcement. this responsibility includes ensuring e-zpass ma patrons’ service requirements are protected and accounted for in accordance with transcore and massdot’s standards of performance.",Auburn,MA,34320.0,34320.0,,1001 - 5000 ,Taxi & Car Services,Transportation & Logistics,Customer Services & Support,$100 to $500 million (USD),454
390,Bay State Search, Customer Service Professional- Local Applicants Only,,,"**vaccination is required to be considered for these positions as training is onsite**
**training will be provided in andover, massachusetts or lynn, ma and role will be remote after training. all candidates must be within commuting distance to these locations & be able to commute for 3-6 weeks**
**these positions are contract to perm (90 days)**
**pay: $19.00/hour**
vaco boston has teamed up with our client to identify team players to join their client services team. the ideal candidate will have an upbeat attitude, strong verbal and written communication skills and be able to set and exceed goals.
about the role",Lynn,MA,39520.0,39520.0,,501 - 1000 ,Business Consulting,Management & Consulting,Customer Services & Support,$500 million to $1 billion (USD),454
391,Insight Global,High Net Worth Service Associate ,,,"“we are looking for a customer support specialist to work for a leader in the financial industry. this person will be responsible for making 50-60 inbound client calls each day. the responsibilities will also include scheduling adherences, breaks, and lunches for clients. they will also help find solutions for any complex problems that these hight net worth clients with 250k+ assets are dealing with. overall, they will be creating high customer loyalty and provide great customer support!”
a requirement for this position is to have an active series 7 license. if this person still has an active series 7, they will have some sort of financial services background.
if they come from a customer support role within financial services, that is a huge plus!
job type: full-time
pay: $61,000.00 - $71,000.00 per year",Sacramento,CA,66000.0,61.0,71.0,1001 - 5000 ,HR Consulting,Human Resources & Staffing,Customer Services & Support,$25 to $100 million (USD),454
393,CCC, Inbound Customer Service Representative,,,"about ccc
ccc intelligent solutions inc. is the technology platform for the p&c insurance economy. ccc technology, insights, and support connect industries – insurers, automotive manufacturers, collision repairers, parts suppliers, lenders, fleet operators and more – to advance decision-making, productivity, and customer experiences for thousands of clients worldwide. clients leverage ccc’s network management, data management, ai, operational workflows and customer experience solutions to efficiently scale, interact, transact and achieve their unique business objectives. ccc was ranked a best mid-sized company to work for by forbes (2019). builtin chicago, austin and la named ccc a top place to work in 2020, 2021 & 2022. diverse perspectives and experiences are core to ccc’s success and award-winning culture of more than 2,000 employees worldwide. we hold inclusion as a core value and are committed to celebrating and cultivating the diversity of our team. with a 40+ year track record of innovation, ccc’s tenacious spirit and growth mindset turn next generation technology into real world solutions and empower team members to expand their knowledge and potential. headquartered in chicago, ccc has 6 locations worldwide and is listed on the new york stock exchange (nyse: cccs). find out more about ccc intelligent solutions by visiting cccis.com.",Winston-Salem,NC,33991.0,29.0,40.0,1001 - 5000 ,Computer Hardware Development,Information Technology,Customer Services & Support,$500 million to $1 billion (USD),454
394,AAA Northeast,Call Center Representative ,,,"overview:
*we hire for these roles on an ongoing basis as positions become available. this posting is intended to fill current or future vacancies as needed. qualified candidates will be contacted on an ongoing basis to discuss available career opportunities, thank you*

eligible applicants must live within the aaa northeast footprint to be considered for work from home opportunities. this includes ri, ma, ct, ny & nj. you have applied to a work from home position, and as such, you will be required to meet specific work from home requirements to support the business needs of aaa. this includes high speed internet access with minimum internet speed requirements.



receives incoming calls for roadside assistance on behalf of contracted automobile companies. processes requests and gathers required information in order to provide timely service. answers callers questions and provides detailed information on road service products and services; provides five diamond customer service to encourage member retention, renewal and new membership sales.

responsibilities:



qualifications:",Providence,RI,40264.0,35.0,46.0,1001 - 5000 ,Membership Organizations,Management & Consulting,Customer Services & Support,,454
395,AllianceOne Inc.,Now Hiring Full-Time Call Center Agents ,,,"now is a great time to join allianceone! as a subsidiary of teleperformance, allianceone provides employees the opportunity to be part of a global leader in contact center management, with the benefit of capitalizing on the global presence the company has built throughout the years. teleperformance creates more value by providing a better customer experience.
job description:
now hiring call center agents at our port orchard, wa location!
(no weekends/no evenings required)
are you looking for a new position? allianceone is currently hiring new call center agents. great hours: monday thru friday and benefits!!!
now is a great time to join allianceone! our success and dedication to our client has given us the opportunity to add more team members at our port orchard office. if you are looking for an entry level position with opportunities for advancement you have found the right organization!
remote work potential after 45 days of employment.
pay: $17.50 /hour plus opportunity for $1000 monthly commission cap.",Port Orchard,WA,36400.0,36400.0,,1001 - 5000 ,Research & Development,Management & Consulting,Customer Services & Support,$25 to $100 million (USD),454
396,Group O,Work from Home Benefits Customer Service Representative,,,"overview:
support state of texas members with their needs and inquiries related to their benefits.

must reside within the state of texas
responsibilities:
efficiently answer questions, educate, and counsel members regarding state employee benefits programs, including insurance, retirement, online tools and other ers-related matters.
communicate tactfully and provide information in a clear and concise manner.
manage communication style to educate members with various levels of knowledge and experience.
use sound decision-making and judgment skills to appropriately apply and interpret existing law, pending legislation, rules, policies and procedures.
promote ers-related tools, services and programs.
qualifications:",Roanoke,TX,33800.0,33280.0,34320.0,1001 - 5000 ,Business Consulting,Management & Consulting,Customer Services & Support,$500 million to $1 billion (USD),454
399,Blue Cross and Blue Shield of Alabama,"Customer Support Rep I - Birmingham, AL",,,"overview

realistic job preview

please view the following video for a realistic job preview of the customer support representative i position.
primary responsibilities",Birmingham,AL,41479.0,34.0,50.0,1001 - 5000 ,Insurance Carriers,Insurance,Customer Services & Support,$100 to $500 million (USD),454
401,Berkshire Hathaway GUARD Insurance Companies,Customer Service Representative,,,"overview:
berkshire hathaway guard offers a collaborative company culture with outstanding benefits and competitive compensation. our organization is still hiring during the pandemic and we’re looking for talented individuals to join our team and establish a rewarding career with us.
our success is founded on our strong reputation, and we have received an a+ “superior” grade by the leading independent insurance rating organization. backed by our ultimate parent company, berkshire hathaway inc., our brand is founded upon trust, service, and innovation. if you’re looking for an employer with integrity and flexibility, keep reading to learn about our benefits and job openings.
benefits:
work life balance schedule- no nights or weekends!
generous vacation and sick time
closed on all major holidays
responsibilities:

qualifications:",,NV,,,,1001 - 5000 ,Real Estate,$100 to $500 million (USD),Customer Services & Support,,454
403,Midco,"Work-From-Home Customer Care Support Expert - Lawrence, KS",,,"join our customer service team as a full-time customer care support expert.

100% work-from-home (on the phone)! equipment provided.
full time positions. currently hiring for evenings, weekends, and holidays.
shift and bilingual spanish speaking differentials available.
paid 4-week training starts january 9th.
excellent benefits package including medical, dental, vision, pto, and free midco tv and internet, and more!
living within 60-mile radius of lawrence and in the state of kansas required.

visithttps://www.midco.com/careers/customer-service-jobs/ to learn about employment opportunities and apply today.



create customer loyalty by providing extraordinary service to each customer via inbound and outbound contacts. work with customer to troubleshoot and resolve service issues, answer questions, and educate on our products and services.











midco:

ready to work at midco? we thought so. here are a few more reasons why midco is one of the best places to work:

visitmidco.com/careersto learn about employment opportunities and apply today.

midco is an equal opportunity/affirmative action employer. all qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, creed, national origin, disability, protected veteran status, age, marital status, status with regard to public assistance, familial status, membership or activity in a local commission, or any other characteristic protected by law. to view our full eeo and federal contractor supplemental posters, please refer tomidco.com/federal posters.

#hc64127",Lawrence,KS,38012.0,33.0,44.0,1001 - 5000 ,"Cable, Internet & Telephone Providers",Telecommunications,Customer Services & Support,,454
404,First Call Resolution,Customer Service Representative - Work From Home,,,"**** this is a remote work from home position. ****
**** you must live in the same state as the position to be eligible****

what is fcr?

fcr is the premier provider of live agent call centers and customer service solutions for various companies and industries. fcr answers inbound phone calls, emails, and live chat requests with hundreds of thousands of people every day.

essential information about this position:












disclaimer: this is not necessarily an exhaustive list of all responsibilities, duties, skills, efforts, requirements, or working conditions associated with the job.",Murfreesboro,TN,,,,1001 - 5000 ,Business Consulting,Management & Consulting,Customer Services & Support,,454
405,Bay State Search, Customer Service Professional- Local Applicants Only,,,"**vaccination is required to be considered for these positions as training is onsite**
**training will be provided in andover, massachusetts or lynn, ma and role will be remote after training. all candidates must be within commuting distance to these locations & be able to commute for 3-6 weeks**
**these positions are contract to perm (90 days)**
**pay: $19.00/hour**
vaco boston has teamed up with our client to identify team players to join their client services team. the ideal candidate will have an upbeat attitude, strong verbal and written communication skills and be able to set and exceed goals.
about the role",Danvers,MA,39520.0,39520.0,,501 - 1000 ,Business Consulting,Management & Consulting,Customer Services & Support,$500 million to $1 billion (USD),454
407,PCG Consulting,Healthcare Customer Service Representative - ,,,"pcg (evolent health) call center customer service representative job description
100% remote work from home position.
the representative provides a positive customer service experience that meets the needs of our members by educating them on products and services, listening to concerns and addressing issues in a high-volume inbound call center.
responsibilities
answer high-volume inbound member and provider calls via an automated phone system.
make outbound calls to members, providers, etc. as needed.
utilize resources to troubleshoot and resolve member issues.",Maywood,IL,39465.0,35.0,45.0,1001 - 5000 ,Business Consulting,Management & Consulting,Customer Services & Support,$100 to $500 million (USD),454
408,American Homes 4 Rent,Customer Service Representative II - ,,,"american homes 4 rent
as one of the country’s fastest-growing property management companies of single-family rental homes, american homes 4 rent has an exhilarating and fluid start-up culture and permanency of a well-founded corporation, rich with diversity. as pioneers in the industry, solidified by our place on wall street, american homes 4 rent (nyse: amh) is currently looking for qualified candidates. with a culture of unprecedented growth, quality, and innovative collaboration, we are seeking personalities to complement our attributes.
the customer service representative ii is responsible for providing effective customer service to incoming calls and e-mails, from both tenants and non-tenants, by using in-depth knowledge of company products and programs as well as with team members within the department.
responsibilities:
performs activity relating to inbound calls and/or emails from tenants, vendors, potential tenants regarding company rental information, questions and concerns on a daily basis. provides accurate and timely assistance to the caller and documents transactional activity in crm database order, ensuring proper call handling and follow up as needed.",Murray,UT,39520.0,39520.0,,1001 - 5000 ,Real Estate,Real Estate,Customer Services & Support,$500 million to $1 billion (USD),454
410,City Colleges of Chicago,Call Center Rep ,,,"primary objective

reporting to the call center manager, the call center representative provides excellent customer service through the city colleges of chicago call center and delivers quality information and support to students and the general public who inquire about city colleges of chicago’s academic/degree and non-degree programs and other enrollment, registration and retention services. positions are required to work a flexible schedule, including some weekends. performs related remote duties as required.

essential duties",Chicago,IL,36544.0,32.0,42.0,1001 - 5000 ,Colleges & Universities,Education,Customer Services & Support,$100 to $500 million (USD),454
413,Medical Mutual of Ohio,Medicare Advantage - Customer Care Specialist ,,,"medicare advantage - customer care specialist (remote)
- (2200643)

the medicare advantage - customer care specialist position allows you the flexibility to work at home as long as you reside within a 50-mile radius of the brooklyn, oh and/or the rossford, oh medical mutual offices.
founded in 1934, medical mutual is the oldest and one of the largest health insurance companies based in ohio. we provide peace of mind to more than 1.6 million ohioans through our high-quality health, life, disability, dental, vision and indemnity plans. we offer fully insured and self-funded group coverage, including stop loss, as well as medicare advantage, medicare supplement and individual plans.",Brooklyn,OH,39520.0,37440.0,41600.0,1001 - 5000 ,Insurance Carriers,Insurance,Customer Services & Support,$1 to $5 billion (USD),454
414,HealthStream,Customer Support Specialist,,,"job details
job location
usa/remote - nashville, tn
remote type
optional work from home
position type
full time
education level",Nashville,TN,45011.200000000004,45011.200000000004,,1001 - 5000 ,Health Care Services & Hospitals,Healthcare,Customer Services & Support,$100 to $500 million (USD),454
415,Malvern Panalytical Ltd,Customer Care Specialist,,,"customer care specialist
this is a remote position
this is a temporary position with the potential to go permanent after 90 days.
do you want to step into a high-tech world with a strong focus on innovation? do you want to be a real business partner for our customers by offering value-added propositions? are you looking for a position in which you can fully exploit your customer service skills? do you want to do this in an international, global, but personal environment? then this might be your chance to become a part of our innovative and enthusiastic customer support team.
in this role you will be responsible for supporting customers through the customer care center and performing tasks such as receiving / answering customer phone and email inquiries and directing customers towards the most efficient resolution. general duties include but are not limited to call handling, level one triage/troubleshooting and documentation, parts orders administration, customer credit card authorizations, invoicing, purchase order processing and other tasks as deemed appropriate
what are your responsibilities?",Westborough,MA,42148.0,37.0,48.0,1001 - 5000 ,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,Customer Services & Support,,454
416,Reynolds and Reynolds,Customer Support Specialist,,,"open dealer exchange, an affiliate of reynolds and reynolds, is looking for a home office based customer support specialist to join our team. as a customer support specialist, your main responsibility is to provide technical support to our current customer base. you will quickly respond to an array of customer inquiries, with a focus on exceeding service goals and ensuring customer satisfaction. as the “face” of the company, you will be expected to demonstrate a pleasant and engaging personality when assisting our customers. this opportunity will involve problem solving, critical thinking, and working with others on a daily basis.
responsibilities:
work together with customer support team to manage the flow of communication and inquiries from our customer base utilizing our customer management software
handle in-bound inquiries from customers, both via telephone and email
provide first/second tier technical support (password resets, website help, etc)",Eugene,OR,42277.0,37.0,49.0,1001 - 5000 ,Computer Hardware Development,Information Technology,Customer Services & Support,$1 to $5 billion (USD),454
417,CorVel Corporation,Customer Service Rep I ,,,"you can make a difference.
corvel is looking to hire several call center intake representatives who want to make a difference to others. when someone is injured on the job, you are the first person they will speak with. your responsibility is to listen, gather information from either the injured worker, employer or someone close to the situation then input information into our system so that they can receive the necessary medical care.
this position is fully remote, and you will have the opportunity to grow within our organization. the position pays $15 per hour (or $16 if bilingual in english and spanish).

essential functions and responsibilities:",Glen Allen,VA,31200.0,31200.0,,1001 - 5000 ,Insurance Carriers,Insurance,Customer Services & Support,$500 million to $1 billion (USD),454
420,L.L.Bean,Customer Service Home Agent - Bilingual - French Canadian/English,,,"we invite you to be part of our team of trailblazers dedicated to helping people discover and enjoy the outside. come join us. because on the inside we’re all outsiders. and if it’s outside, we’re all in.
nous embachons!

now hiring bilingual [quebecois (french canadian)/english] customer service home agents to take incoming calls from our customers while working from home.

pay grade: 6
all applicants must reside in the state of maine
starting pay is $18.50/hr. or more
2nd shift will earn an extra $1 after 6pm

new opportunity open for year-round bilingual (french canadian (québécois)/english) customer service home agents (csr2 level) to handle inbound and outbound contacts both from our english and french-speaking customers while working from home.

training begins at the end of january.",Biddeford,ME,38480.0,38480.0,,1001 - 5000 ,"Department, Clothing & Shoe Stores",Retail & Wholesale,Customer Services & Support,$500 million to $1 billion (USD),454
421,Hawkins Personnel Group,Bilingual Customer Service for State Benefits,,,"we need state benefit customer service reps to work from home.
as a state benefit representative, you will not only further develop your csr skills but will also gain experience with health and human services as you take inbound calls assisting people who are inquiring about their chip, medicaid and other benefits.
requirements!
6 months call center experience
must be flexible to work mon-fri between the hours of 6am- 8pm
must consent to a background check
pay & benefits!
monolingual $14.00 then $15 after training",San Antonio,TX,32240.0,31200.0,33280.0,1001 - 5000 ,HR Consulting,Human Resources & Staffing,Customer Services & Support,$5 to $25 million (USD),454
425,Pacific Life,Customer Service Annuity Specialist,,,"job description:
pacific life is investing in bright, agile and diverse new talent to ensure we continue to innovate and strengthen relationships with our contract owners. that’s why we’re actively hiring for a class of customer service specialists that will focus on servicing our annuity products. join our team and take part in our people-first culture! candidates that do not hold their series 6 or 7 licenses will be considered for an opportunity in our omaha, ne office. finra sie and series 6 or 7 license required within approximately 30 days of employment

please apply now to be considered for one of our multiple openings!

additional details about this opportunity :
as customer service specialist, you’ll play a key role in pacific life’s growth and long-term success. in joining the retirement solutions division (rsd) customer service department, you’ll work throughout several phases of training to include a great support system from both supervisors and senior peers.

whether you’re experienced in the financial industry or a recent college graduate, we have an amazing training program that will meet you where you are. we look for mission-driven self-starters comfortable with ambiguity and who thrive in a fast-paced, collaborative culture.


you enjoy talking on the phone. this role will take anywhere between 50 to 60 incoming calls per day. being comfortable on the phone and providing excellent customer service is #1.

problem solving! if there’s an obstacle, you'll want to find a way to work through it.

you are excited about helping your colleagues and our customers, keeping in mind our goal of excellent quality.

you’re comfortable with a fast-paced environment.

you enjoy supporting your community and getting involved – we have multiple opportunities to volunteer and support local charities and organizations!


1+ year or related business experience

college degree and/or equivalent experience preferred

finra series 6 or 7 license required within approximately 30 days of employment.

strong customer skills with 1-2 years’ experience in a related role.

resourceful self-starter who is interested in researching answers to questions from available information.

analytical skills and ability to think outside the box.

organizational and time management skills.

motivation and ability to learn new concepts quickly and adapt to a changing environment.


all resumes will go through an initial review

selected applicants will be asked to partake in a recorded video-interview and game-based assessment via hirevue.

we'll be conducting interviews in december and january with an expected start date of early february 2023. .


starting hourly rate will be based on your location and experience and ranges between $25.29 - $29.76 per hour.

we are also offering a $2,500.00 sign on bonus!

you belong at pacific life
at pacific life we are committed to a culture of belonging, a space where all employees are empowered to be authentic. one way we cultivate an inclusive culture is through our employee connection groups. the purpose of these employee-led groups is to offer a place to build community, connection, camaraderie, and a sense of belonging. each group can be active in education, advocacy, recruitment, and community building throughout our organization. learn more about our employee connection groups at www.pacificlife.com.

want to learn more about life at pacific life? take an inside look at our company culture: instagram.com/lifeatpacificlife.

#li-kb1
#li-remote

your benefits start day 1

your wellbeing is important to pacific life, and we’re committed to providing you with flexible benefits that you can tailor to meet your needs. whether you are focusing on your physical, financial, emotional or social wellbeing, we’ve got you covered.

competitive salary and benefits

focus on maintaining a strong work-life balance, including six rejuvenation days off in 2022

generous paid time off (pto) and holiday pay

medical, dental, and vision as part our commitment to investing in the health and wellbeing of our employees

401k savings plan with company match and a 100% paid company retirement contribution

wellbeing reimbursement for personal wellbeing expenses (physical, financial, social/emotional)


pacific life insurance company is an equal opportunity /affirmative action employer, m/f/d/v. if you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access our career center as a result of your disability. to request an accommodation, contact a human resources representative at pacific life insurance company.",Omaha,NE,57262.4,52603.2,61900.8,1001 - 5000 ,Insurance Carriers,Insurance,Customer Services & Support,$5 to $10 billion (USD),454
426,FCR,Customer Service Representative - Work From Home,,,"**** this is a remote work from home position. ****
**** you must live in the same state as the position to be eligible****

what is fcr?

fcr is the premier provider of live agent call centers and customer service solutions for various companies and industries. fcr answers inbound phone calls, emails, and live chat requests with hundreds of thousands of people every day.

essential information about this position:",Southfield,MI,,,,1001 - 5000 ,Business Consulting,Management & Consulting,Customer Services & Support,,454
428,PCG Consulting,Call Center Quality Analyst Team Lead,,,"pcg is looking to hire immediately, a call center quality assurance team lead to assist the qa supervisor in the day to day operations, including coaching , proactively motivating, and enforcing processes and procedures that is within company guidelines. assist the supervisor in analyzing and finding solutions as well as setting/achieving goals for the team. the call center quality assurance team lead will assist the qa analyst with monitoring calls as needed.
responsibilites
monitor and evaluate performances of the team
lead successfully
assist in implenting processes and procedures
ensuring processes and procedures are being followed within company guidelines",,IL,,,,1001 - 5000 ,Business Consulting,Management & Consulting,Customer Services & Support,$100 to $500 million (USD),454
429,Aston Carter,Bilingual Customer Service Representative,,,"equivalent experience
hello!
we are seeking experienced bilingual customer service representatives to join our team. if you are looking to have flexibility in the workplace, and to build experience in your career, please see an in depth description below, and apply now! much of the role will be fully remote, but occasional on-site meetings will take place.
description:
all of our services take place virtually, so there is no face to face customer service. this role assists customers with how to navigate that. whether it's pain points navigating systems, questions with billing, insurance coverage, auto loans, etc.
essential functions:",Muscatine,IA,50500.0,45.0,56.0,1001 - 5000 ,HR Consulting,Human Resources & Staffing,Customer Services & Support,,454
433,Just Energy, Customer Service Representative - Call Center - Bilingual ,,,"remote customer service representative - call center - bilingual (spanish/english) - (221704382)
description
calling all texans!
do you have a passion for people and helping others arrive at solutions?
if so, you could be a great fit for our customer service team!
100% remote work!
pay: $16.75 per hour plus incentives!
monthly performance bonus (potential up to $5,400 annually)",Houston,TX,34840.0,34840.0,,1001 - 5000 ,Energy & Utilities,"Energy, Mining & Utilities",Customer Services & Support,$1 to $5 billion (USD),454
434,Dominion VUE / DMS,Customer Support Rep,,,"do you enjoy working with customers and helping them succeed? are you looking for challenging work in an environment that will encourage you to learn and grow? if so, then read on to learn more about our dominion dms customer support representative role - a role that is an integral part of providing our automotive customers with the support they need to succeed.
at dominion vue, we pride ourselves in offering the very first microsoft-based, cloud-native dealership management software (dms) solution for the automotive industry, and superior customer service to ensure every dealership’s success. join the team partnering with customers to bring modern solutions to an ever-changing, fast-paced industry.
note: this role is 100% remote, and compensation starts at $15/hour+ based on experience.
as a customer support representative, what might you do in a typical week?",Boca Raton,FL,35360.0,33280.0,37440.0,1001 - 5000 ,Advertising & Public Relations,Media & Communication,Customer Services & Support,,454
435,Life Fitness,Technical Customer Support Specialist,,,"an empty treadmill isn’t compelling, but once someone steps on it, the stories are limitless. our goal is to connect people emotionally to their fitness journey. we are a global team coming from different cultures and backgrounds with a shared passion to achieve and live our mission of inspiring healthier lives.
inspire. innovate. make an impact and join our team!
special note: during the near-term and for a temporary period, this role will be 100% remote/work-from-home.
join life fitness’ customer service and support (css) team as a technical customer support associate reporting to the customer support supervisor. in this role, you will be responsible for responding to customer contacts via inbound automatic call distributor (acd) calls and system and internal emails. you will be in direct contact with the customer and will place outbound calls as required. to be successful in this role, you will provide professional, stellar quality to domestic, international, commercial and consumer customers and life fitness sales representatives. you will promote positive customer relations while maintaining the highest standards of ethics, quality and service. you’ll perform all other assigned duties in accordance with customer service and support as well as life fitness policies and procedures and all state and federal regulations.",Franklin Park,IL,44222.0,38.0,52.0,1001 - 5000 ,Electronics Manufacturing,Manufacturing,Customer Services & Support,$500 million to $1 billion (USD),454
436,The Christian Broadcasting Network, Call Center Representative - Full Time,,,"the 700 club prayer center

the christian broadcasting network (cbn) is looking for call center representatives to join our dynamic inbound call center ministry team. we are seeking dedicated customer service professionals who also love to pray and are passionate about the mission of cbn. are you ready to upgrade your job into a fulfilling career?

this work from home position will communicate and connect with established and prospective cbn partners through ministering prayer using accepted biblical doctrine, sharing information about cbn and its affiliated ministries and encouraging financial support.",Greensboro,NC,31200.0,31200.0,,1001 - 5000 ,Broadcast Media,Media & Communication,Customer Services & Support,$100 to $500 million (USD),454
